osm_id,latitude,longitude,all_tags
26749765,41.7955579,-87.9946944,"{""railway"": ""level_crossing""}"
37946198,40.315743,-88.1577646,"{""railway"": ""level_crossing""}"
37946630,40.110933,-88.369557,"{""railway"": ""level_crossing""}"
37946642,40.1110923,-88.3683114,"{""railway"": ""level_crossing""}"
37947468,40.1245041,-88.26944,"{""railway"": ""level_crossing""}"
37947473,40.1229728,-88.2688091,"{""railway"": ""level_crossing""}"
37947615,40.1244971,-88.269372,"{""railway"": ""level_crossing""}"
37948123,39.9589597,-88.3876853,"{""railway"": ""level_crossing""}"
37948359,40.12251,-88.268666,"{""railway"": ""level_crossing""}"
37948362,40.1229633,-88.2694507,"{""railway"": ""level_crossing""}"
37950545,40.113071,-88.299313,"{""railway"": ""level_crossing""}"
37951128,39.967307,-88.344521,"{""railway"": ""level_crossing""}"
37952298,40.0294369,-88.0255589,"{""railway"": ""level_crossing""}"
37953074,40.0235643,-88.0733162,"{""railway"": ""level_crossing""}"
37953587,40.0227139,-88.0821162,"{""railway"": ""level_crossing""}"
37953605,39.8809635,-88.1425516,"{""railway"": ""level_crossing""}"
37955847,39.967342,-88.344531,"{""railway"": ""level_crossing""}"
37957054,40.122491,-88.2686945,"{""railway"": ""level_crossing""}"
37958968,40.1418394,-88.2276238,"{""railway"": ""level_crossing""}"
37959238,40.0294397,-88.0255367,"{""railway"": ""level_crossing""}"
37963040,39.9654315,-88.3545555,"{""railway"": ""level_crossing""}"
37963891,40.1130294,-88.3437002,"{""railway"": ""level_crossing""}"
37964688,39.984475,-88.2586184,"{""railway"": ""level_crossing""}"
37964691,39.9851344,-88.2557694,"{""railway"": ""level_crossing""}"
37965507,40.0076977,-88.1579523,"{""railway"": ""level_crossing""}"
37966966,40.1130182,-88.3391717,"{""railway"": ""level_crossing""}"
37967189,40.1752894,-87.9815665,"{""railway"": ""level_crossing""}"
37967332,39.945845,-88.454764,"{""railway"": ""level_crossing""}"
37971543,40.034465,-87.9606,"{""railway"": ""level_crossing""}"
37972560,39.977236,-88.294022,"{""railway"": ""level_crossing""}"
37973259,40.1111327,-88.3683096,"{""railway"": ""level_crossing""}"
37973664,40.006339,-88.066571,"{""railway"": ""level_crossing""}"
37974455,40.0242764,-88.0664695,"{""railway"": ""level_crossing""}"
37976213,40.3758743,-88.4228635,"{""railway"": ""level_crossing""}"
37976256,40.108121,-88.426522,"{""railway"": ""level_crossing""}"
37976259,40.1082363,-88.4265203,"{""railway"": ""level_crossing""}"
37976657,40.1901987,-88.4078163,"{""railway"": ""level_crossing""}"
37978095,40.319021,-88.213108,"{""railway"": ""level_crossing""}"
37979437,39.909338,-88.123316,"{""railway"": ""level_crossing""}"
37979550,39.9081072,-88.2740501,"{""crossing:barrier"": ""half"", ""crossing:bell"": ""yes"", ""crossing:light"": ""yes"", ""railway"": ""level_crossing""}"
37981151,40.069037,-88.035378,"{""railway"": ""level_crossing""}"
37981806,39.9845444,-88.2586446,"{""railway"": ""level_crossing""}"
37982576,40.1204375,-88.2337772,"{""crossing:barrier"": ""no"", ""crossing:bell"": ""yes"", ""crossing:light"": ""yes"", ""railway"": ""level_crossing""}"
37982737,40.4417541,-86.8634836,"{""railway"": ""level_crossing""}"
37983537,40.4767553,-87.0411017,"{""railway"": ""level_crossing""}"
37983800,40.3569979,-86.7102704,"{""railway"": ""level_crossing""}"
37985857,40.0113105,-88.1425358,"{""railway"": ""level_crossing""}"
37986168,39.962673,-88.368686,"{""railway"": ""level_crossing""}"
37986816,40.1260612,-88.253178,"{""railway"": ""level_crossing""}"
37987463,40.3735227,-86.7953001,"{""railway"": ""level_crossing""}"
37987567,40.3523731,-87.0558301,"{""railway"": ""level_crossing""}"
37987571,40.3546344,-87.0402227,"{""railway"": ""level_crossing""}"
37989299,40.3186466,-88.4579853,"{""railway"": ""level_crossing""}"
37989916,40.318668,-88.280505,"{""railway"": ""level_crossing""}"
37991113,39.95267,-88.094203,"{""railway"": ""level_crossing""}"
37991779,40.4569846,-86.875393,"{""railway"": ""level_crossing""}"
37992270,40.3119777,-88.1588771,"{""crossing:barrier"": ""half"", ""crossing:bell"": ""yes"", ""crossing:light"": ""yes"", ""railway"": ""level_crossing""}"
37992275,40.3119778,-88.1588219,"{""crossing:barrier"": ""half"", ""crossing:bell"": ""yes"", ""crossing:light"": ""yes"", ""railway"": ""level_crossing""}"
37994572,40.2210005,-86.9103498,"{""railway"": ""level_crossing""}"
37994632,40.1129497,-88.1914805,"{""crossing:barrier"": ""no"", ""railway"": ""level_crossing""}"
37994931,40.3618938,-86.7233174,"{""railway"": ""level_crossing""}"
37995979,40.3881883,-86.8573529,"{""railway"": ""level_crossing""}"
